"car_ids","market_ids","make","model","firm_ids","Genmodel_ID","Viz1","Viz2","Viz3","Viz4","Viz5","Viz6","Viz7","Viz8","Viz9","Viz10","Viz11","Viz12","Viz13","Viz14","Viz15","Viz16","Viz17","Viz18","Viz19","Viz20","clustering_ids","shares","quantity","trend","prices","mpg","hp","Gas_emission","wt","len","wid","Engine_size","Fuel_Type","hpwt","eswt","space","mpd","region","demand_instruments0","demand_instruments1","demand_instruments2","demand_instruments3","log_s_s0"
"16_13_2013",2013,"Chevrolet","Orlando",7,"16_13",1.265175374,-0.490157233,0.924777176,-0.998092818,-0.178417177,2.69823085,-0.153254338,3.677829873,-0.165609292,-1.675496323,-0.580496192,0.863625312,0.504039842,-0.963196885,0.305232691,0.497173343,-0.936169129,0.32076738,-0.408678226,0.435209317,18,3.46e-05,0.923,5,17.60195,4,139,1.64,336.865936,4652,1836,1796,"Petrol",0.412627057667238,0.53314978098587,1.32387023751631,0.665049002360058,"United States",0.100467771433952,20.43,5.94804137488526,326.8937,-10.193412096485
"16_13_2014",2014,"Chevrolet","Orlando",7,"16_13",1.267954306,-0.689053842,-1.346376305,1.971890557,-1.361176658,-0.170214565,-0.375411186,0.737690233,0.794248857,-1.680704183,0.31211368,-0.462523395,0.276438889,0.174561905,-1.525652002,-0.781339523,-1.572869885,-0.562535727,-0.184487783,0.352943094,18,7.86e-06,0.21,6,17.87,4,139,1.64,336.865936,4652,1836,1796,"Petrol",0.412627057667238,0.53314978098587,1.32387023751631,0.690558013364036,"United States",0.105805419223366,21.19,6.98876467715221,399.2907,-11.6683343605456
"16_14_2010",2010,"Chevrolet","Spark",7,"16_14",-0.971335333,-0.241120727,1.477598941,-1.849030273,1.192223301,-0.063839461,0.570942771,-0.513299941,0.552645322,0.58716305,0.568810512,-0.704725865,-0.801141824,-0.420439869,-0.816527281,-0.836057255,-0.164005373,0.989568636,-0.297309445,-0.808691355,19,0.000147523,3.871,2,6.59325,5.5,67,1.19,190.479168,3640,1597,995,"Petrol",0.351744501529952,0.522366834361645,0.901030175170205,1.15762435165835,"United States",0.0374386623417536,28.75,6.50391067050149,525.7589,-8.75636319015009
"16_14_2011",2011,"Chevrolet","Spark",7,"16_14",0.266389965,0.562461953,-0.379015314,0.002438242,-0.716606063,-0.634124903,1.023326568,-1.304407044,1.224308598,0.374605913,1.606171499,-0.801077687,0.49139816,-0.333625643,-0.674053919,2.010214894,0.400976258,0.020446164,-0.018231519,0.339149136,19,0.000162823,4.3,3,6.88825,5.5,67,1.19,190.479168,3640,1597,995,"Petrol",0.351744501529952,0.522366834361645,0.901030175170205,0.970928737244568,"United States",0.0525655493636111,17.21,6.67653200856123,405.7289,-8.65909144993264
"16_14_2012",2012,"Chevrolet","Spark",7,"16_14",0.10853782,-0.195969318,-1.80234073,-2.35602999,0.514474148,-0.334074018,-1.27501226,-0.013162525,-0.374429827,-1.013708572,-0.678459728,1.528538217,-1.638951431,0.949971751,1.366086292,-1.145495178,0.114026281,0.754375634,-0.390530174,0.172732863,19,0.000157851,4.202,4,8.144475,5.5,67,1.19,190.479168,3640,1597,995,"Petrol",0.351744501529952,0.522366834361645,0.901030175170205,0.92740627946404,"United States",0.0542208006687555,16.65,7.84139617169715,398.4437,-8.68508188880316
"16_14_2013",2013,"Chevrolet","Spark",7,"16_14",-0.587739703,-2.033131132,-0.754077783,0.322901796,0.963965774,0.126930891,-0.653107879,0.299387467,0.432393215,-0.702930885,1.985175517,-1.370016608,-0.082860281,0.952349634,-0.782209849,-0.405337741,0.906308481,1.382356123,1.515689165,0.239143372,19,0.000157822,4.208,5,8.741875,5.6,67,1.18,190.479168,3595,1597,995,"Petrol",0.351744501529952,0.522366834361645,0.889891065861782,0.931068603304081,"United States",0.0593616151406701,22.03,7.38949264850213,386.9577,-8.67579796287099
"16_14_2014",2014,"Chevrolet","Spark",7,"16_14",-1.356790562,0.834821438,-1.163745094,-0.663028675,-0.602761583,0.304772362,-0.862074916,-0.361148691,-0.035035513,-2.125788304,0.435987961,0.701514669,-0.427497938,0.259165577,0.308424787,0.549642265,-1.04037467,0.49962147,-0.032086901,-0.982834592,19,3.29e-05,0.88,6,8.875,5.6,67,1.18,190.479168,3595,1597,995,"Petrol",0.351744501529952,0.522366834361645,0.889891065861782,0.96678121870965,"United States",0.0555227287152998,20.87,8.7640858682188,360.2827,-10.2366483092153
"16_16_2008",2008,"Chevrolet","Tacuma",7,"16_16",0.134803541,-0.946454926,-1.631861965,0.86746583,-0.833803209,0.100171771,0.295394815,-0.418783623,-1.007859548,-0.545830912,0.515168465,0.325984225,-0.763470275,0.186114767,-0.754658245,-0.248000402,0.617352606,-1.349072559,-0.521578575,0.165772453,20,1.1e-05,0.285,0,9.521974,3.5,105,1.91,280.427664,4350,1755,1598,"Petrol",0.374428109203948,0.569843922388485,1.18331239459858,0.849506569413344,"United States",0.0453749800213001,15.08,7.23224814052232,194.34,-11.3587296512457
"16_18_2013",2013,"Chevrolet","Trax",7,"16_18",-0.05768516,0.659688743,-0.523084423,0.526064739,-0.156160713,0.233844699,1.134070409,1.24084009,1.005207546,1.025600008,-1.785308678,1.139243089,-1.605930776,0.682831096,0.281164486,-0.066940569,-0.608792418,1.034349247,1.173400214,1.063957419,22,4.01e-05,1.069,5,15.0902,4.3,113,1.53,284.39598,4248,1776,1598,"Petrol",0.397333323769204,0.561892611843529,1.16939304172702,0.714927677537062,"United States",0.0789863077475819,14.49,6.15465398285015,251.1857,-10.0458894442361
"16_18_2014",2014,"Chevrolet","Trax",7,"16_18",-0.685233938,0.214286891,0.025684797,0.833087551,-0.115256824,-0.522319061,-0.225218153,-0.90357646,1.665172191,-0.437565745,-1.490923984,1.314636388,0.638520634,-0.32757493,-0.928501149,1.306960914,-1.099546143,1.454235817,-0.566586648,-0.872580935,22,2.05e-05,0.549,6,15.32,4.3,113,1.53,284.39598,4248,1776,1598,"Petrol",0.397333323769204,0.561892611843529,1.16939304172702,0.742349864366339,"United States",0.0827160280628828,15.28,7.27645671141754,303.4467,-10.7096960808423
"16_2_2008",2008,"Chevrolet","Aveo",7,"16_2",2.294737856,-0.352047937,1.70142407,-0.046963625,0.256801032,-0.252317573,-0.719627621,-0.410358048,0.230172971,1.172572311,-1.467148425,-2.151530226,1.972809442,-0.56089632,0.455317213,-0.534358584,-2.534255658,-1.518676841,0.006380019,-0.573943378,24,5e-05,1.295,0,7.788165,5.1,82,1.3,227.07586,3920,1680,1206,"Petrol",0.361112801686626,0.531100047358623,1.02077114397203,1.23785242971659,"United States",0.0415928906378116,25.96,7.63855234334913,515.62,-9.84460191861589
"16_2_2009",2009,"Chevrolet","Aveo",7,"16_2",-0.08182404,-0.350663815,1.231698303,0.344283271,-0.031474737,-1.216293127,-1.841782022,1.778486863,-0.530803724,-1.58125696,1.694943899,0.222043471,-2.390483978,0.552532877,1.368311454,-0.455530617,0.148746872,0.827996648,1.429966363,-1.313051038,24,0.00017683,4.605,1,7.96287,5.1,82,1.3,227.07586,3920,1680,1206,"Petrol",0.361112801686626,0.531100047358623,1.02077114397203,1.3007395581954,"United States",0.501159943674078,31.83,8.72403310561487,500.43,-8.57866130994291
"16_2_2010",2010,"Chevrolet","Aveo",7,"16_2",0.187867671,-0.358325739,-2.461907139,-0.551553437,0.579079752,-1.274481087,0.106027437,1.493462748,0.076827108,-0.730908953,0.770419999,-0.174144684,1.226161089,0.792123762,-1.430425033,0.235560535,0.592268442,-0.154923512,0.203641418,1.391531559,24,7.44e-05,1.951,2,8.22033,5.1,82,1.3,227.07586,3920,1680,1206,"Petrol",0.361112801686626,0.531100047358623,1.02077114397203,1.07343348971956,"United States",0.0370696229543304,17.63,6.2308089979231,346.6629,-9.44089134413815
"16_2_2011",2011,"Chevrolet","Aveo",7,"16_2",-0.405592712,-0.269534698,1.34431015,0.817347586,0.389305963,-0.972921347,-0.896601913,1.400565082,-1.384664909,1.420632075,-1.048113622,0.084261535,-0.828635993,2.018999743,0.153014211,0.528642642,0.622171489,0.005559694,0.471042424,-1.02220762,24,5.7e-05,1.504,3,8.58813,5.1,82,1.3,227.07586,3920,1680,1206,"Petrol",0.361112801686626,0.531100047358623,1.02077114397203,0.900315738172236,"United States",0.0510523942682031,9.77,6.39595992294673,266.2329,-9.70870390332906
"16_2_2012",2012,"Chevrolet","Aveo",7,"16_2",0.568428618,-0.997524125,-0.16361663,-0.114698868,1.334561083,-0.726028295,-0.563909255,0.787570679,-0.735989918,-0.315753718,-1.317616157,0.589227503,-0.019215817,-1.696709085,-0.046713225,-0.594243062,2.410893574,0.492654269,0.087709311,-0.16041159,24,6.75e-05,1.798,4,9.49468,4.7,84,1.38,235.89434,4039,1735,1229,"Petrol",0.356091629837325,0.520995967940562,1.08619142046628,0.792510820632907,"United States",0.0531888352835038,4.97,7.68821039793319,216.7317,-9.53460584103689
"16_2_2013",2013,"Chevrolet","Aveo",7,"16_2",1.011489856,-2.631207179,-0.100020061,-0.211291353,-1.298050065,1.583536329,1.095196369,-1.810972047,1.317386354,0.154295585,-0.837450781,0.057174007,0.139356367,2.575886967,-0.535380961,0.02206444,-1.869354059,0.380247541,-0.703251895,0.813260704,24,5.53e-05,1.475,5,10.583825,6,84,1.11,234.571568,4039,1771,1229,"Petrol",0.358099665343926,0.523933915128197,1.10872910988229,0.997573503540087,"United States",0.0581079513650581,35.23,7.16175191682186,580.3737,-9.72449287002035
"16_5_2008",2008,"Chevrolet","Captiva",7,"16_5",1.013696912,-0.569349351,0.512450868,-0.562477096,-0.123533839,-0.125317349,0.382788896,-0.217666474,-1.915231969,0.0391608,-0.19658766,0.203722738,-0.047681419,-0.673183608,-1.205903576,0.942227273,1.080122448,0.825749721,-0.091306061,-0.121124421,37,5e-05,1.295,0,16.08453,3.1,134,2.17,364.86461,4635,1870,2405,"Petrol",0.367259515796832,0.659148608575658,1.3434588878493,0.752420104337534,"United States",0.0425897316675375,25.96,7.44160560758411,284.42,-9.84460191861589
"16_5_2009",2009,"Chevrolet","Captiva",7,"16_5",-1.057017258,-0.716067734,-0.392792317,-1.827938607,-1.028828451,0.28518314,0.552597817,0.637682631,0.522351478,-1.219788688,-0.356687453,-0.217788539,-0.856263852,1.02757002,-2.440468962,2.530789457,-0.146929053,0.458813052,-1.456724968,-0.501751417,37,4.06e-05,1.058,1,13.66981,3.1,134,2.17,364.86461,4635,1870,2405,"Petrol",0.367259515796832,0.659148608575658,1.3434588878493,0.790645613805045,"United States",0.492974352012504,26.63,8.52705935103846,396.03,-10.0500820624021
"16_5_2010",2010,"Chevrolet","Captiva",7,"16_5",-0.6507419,-0.858335716,0.575982161,0.41856824,-0.294614988,0.116163967,0.155505735,-0.440335443,0.116984662,-1.500190023,-0.584182984,1.271042736,-0.702262045,-1.491032822,-2.435410509,1.56527916,-1.706061358,0.959672139,0.428668971,2.003166996,37,8.41e-05,2.207,2,16.97706,3.1,134,2.17,364.86461,4635,1870,2405,"Petrol",0.367259515796832,0.659148608575658,1.3434588878493,0.652479180025617,"United States",0.0382579847786045,34.03,6.07193499951887,473.5829,-9.31834071899829
"16_5_2011",2011,"Chevrolet","Captiva",7,"16_5",1.288878877,-0.415069286,1.483608917,-1.559992473,-0.173355558,-0.517310985,0.121024568,0.918807015,-0.485973593,1.424227806,-1.062318446,1.152781252,0.341241121,0.541247012,0.438664772,-0.389116452,0.045415307,-0.090030824,-0.587220565,1.355072389,37,5.35e-05,1.412,3,20.76282,4.4,160,1.7,391.981436,4673,2269,2231,"Diesel",0.408182595667617,0.569159606834034,1.64347579690047,0.746569176029174,"United States",0.0832976871405795,8.3,5.53882044929653,182.2749,-9.77207351726165
"16_5_2012",2012,"Chevrolet","Captiva",7,"16_5",-0.433344995,-1.195976368,3.053207252,0.707792291,0.664622223,0.408154238,-0.1858863,-0.347373837,0.58236056,-1.387080438,1.804469295,-1.535373214,1.336369665,0.647491561,-1.439113422,1.59816598,-1.211708287,0.957632105,-1.77199131,0.687978273,37,4.62e-05,1.231,4,20.301125,4.5,160,1.64,391.981436,4673,2269,2231,"Diesel",0.408182595667617,0.569159606834034,1.64347579690047,0.724553027548882,"United States",0.0819817614244336,4.85,6.50233015311662,215.5037,-9.91375364082768
"16_5_2013",2013,"Chevrolet","Captiva",7,"16_5",-0.912903567,0.337696079,-1.801372169,-0.767571998,0.984559096,-1.47891046,1.622375525,0.91772039,-0.395404788,-0.241296631,-0.104402736,-1.981675186,0.032966211,-0.112255557,-0.352335274,0.470812476,-0.433703432,0.693077684,-2.713013251,-1.650854524,37,4.3e-05,1.146,5,20.808125,4.5,160,1.64,391.981436,4673,2269,2231,"Diesel",0.408182595667617,0.569159606834034,1.64347579690047,0.714829587378264,"United States",0.0934536066867846,12.13,5.99733151289127,223.0137,-9.97606566285508
"16_5_2014",2014,"Chevrolet","Captiva",7,"16_5",1.623262889,0.248512139,1.292838474,0.524445905,-0.111107422,-0.311049213,0.823606278,0.99237263,-0.178492387,0.632853161,0.509561311,-1.618209318,0.950126311,-0.584692899,-0.248606705,-0.654513452,-0.443328211,0.215635046,-0.118846549,-0.872635296,37,7.29e-06,0.195,6,21.125,4.5,160,1.64,391.981436,4673,2269,2231,"Diesel",0.408182595667617,0.569159606834034,1.64347579690047,0.741627210398191,"United States",0.0983721991073327,12.84,7.06142416540969,262.2507,-11.7436174209661
"16_7_2009",2009,"Chevrolet","Cruze",7,"16_7",1.525455632,2.342202759,-0.03635087,1.321954177,0.283779854,-1.33826462,-0.499999723,1.306130635,1.685291465,-0.050991216,-0.153488172,-0.858856861,-0.797618999,-0.062872487,1.409920872,0.425689518,-0.634829905,-1.576192922,0.010821727,-0.200429614,39,1.68e-05,0.438,1,11.81224,4.1,111,1.59,283.29367,4597,1788,1598,"Petrol",0.391819556010553,0.564078964418796,1.27401650396697,1.04569258600022,"United States",0.47308840164778,12.23,7.91121778924205,221.23,-10.9324712426006
"16_7_2010",2010,"Chevrolet","Cruze",7,"16_7",0.783336377,0.323607163,-0.059823325,0.398607032,0.900796762,-1.699404212,-0.622604524,-0.66788415,-0.024830099,1.270191077,-2.053760353,-2.165689094,1.426615519,1.717061252,-0.664680413,-0.911721896,-0.948569028,0.171472129,0.79748106,-1.270246887,39,3.93e-05,1.032,2,12.19416,4.1,111,1.59,283.29367,4597,1788,1598,"Petrol",0.391819556010553,0.564078964418796,1.27401650396697,0.862956334872591,"United States",0.054318634433222,10.83,5.59776801717424,197.1229,-10.079122767102
"16_7_2011",2011,"Chevrolet","Cruze",7,"16_7",0.378230389,-0.230092061,0.929381389,1.187704429,-0.202409976,-0.161805199,0.626602908,-2.692234344,-0.521641095,0.178858997,-0.276915036,0.84963822,0.31749747,0.911991084,-0.443183252,0.719953443,0.846421993,-0.850957312,-0.063583737,-2.762304454,39,5.23e-05,1.382,3,12.73976,4.1,111,1.59,283.29367,4597,1788,1598,"Petrol",0.391819556010553,0.564078964418796,1.27401650396697,0.723783240491405,"United States",0.0645513038742156,12.17,5.73228007432293,208.6929,-9.79475880009273
"16_7_2012",2012,"Chevrolet","Cruze",7,"16_7",0.131020665,-0.673857412,0.617354213,-0.470567449,1.143312271,-2.116292497,0.214823535,1.399317748,1.250828952,0.179878274,-0.965051618,-0.58101338,-0.385215006,2.601897072,0.672817797,2.408905435,0.865152459,-0.199595982,-0.181246299,-1.103621568,39,7.23e-05,1.925,4,13.833595,4.2,122,1.55,287.70291,4514,1797,1598,"Petrol",0.424048543686958,0.555434076075213,1.25731086251364,0.708201158863449,"United States",0.105846368075826,6.77,6.3794152800712,246.8117,-9.46590930975066
"16_7_2013",2013,"Chevrolet","Cruze",7,"16_7",0.487835727,-0.041713347,-0.890268051,-0.313697879,0.924642481,0.57862018,-0.07693857,-0.30626246,0.465648623,1.494556617,0.237158582,-1.378875001,-0.461705145,0.314899975,-0.58848037,-1.298494341,-0.757406683,-0.762182209,0.429384279,0.458471716,39,5.71e-05,1.522,5,14.179075,4.2,122,1.55,287.70291,4514,1797,1598,"Petrol",0.424048543686958,0.555434076075213,1.25731086251364,0.698301452478061,"United States",0.121392345026902,16.15,5.86178481810507,271.9617,-9.69246166188668
"16_7_2014",2014,"Chevrolet","Cruze",7,"16_7",0.71352337,0.449276477,-0.40004931,0.36962759,0.075566879,1.115048298,0.081784616,-0.108326548,0.868639693,0.029166225,-0.170926235,-0.453920802,0.127268843,-0.763921925,-0.256568458,-0.594731997,0.453738327,-0.101298788,-0.247773613,-0.031714111,39,2.07e-05,0.554,6,14.62,4,115,1.57,288.80522,4514,1797,1598,"Petrol",0.39819224874121,0.553314098685612,1.25731086251364,0.690558013364036,"United States",0.0838267955980374,21.19,7.25748494272565,399.2907,-10.6999872667153
"17_1_2008",2008,"Chrysler","300C",2,"17_1",-1.148570021,0.117023655,-1.993572996,2.625831486,0.054727032,0.246043493,0.183288401,0.646209515,-0.307424,0.623497594,1.03024753,-1.383672486,0.023501498,-0.470561804,-0.332464404,-1.783352074,-0.618328263,1.460827984,-1.287736909,1.347256628,40,4.27e-05,1.106,0,23.698213,3.4,215,2.15,421.08242,5015,1880,2987,"Diesel",0.510588877113416,0.709362314389663,1.46137550103211,0.751133539571204,"United States",0.0937432467712723,0.86,7.7488748642469,226.9,-10.0024260038095
"17_1_2009",2009,"Chrysler","300C",2,"17_1",1.773445026,-1.476474498,0.201544813,1.473248433,-0.165044645,0.849733136,0.159287646,-0.684114678,-0.465241651,0.613371823,-0.363148507,1.087170924,-0.386159112,-1.24582855,-2.07664526,-1.47656144,1.227960813,1.608663697,-1.155332589,0.329869058,40,2.27e-05,0.592,1,24.229814,3.4,215,2.15,421.08242,5015,1880,2987,"Diesel",0.510588877113416,0.709362314389663,1.46137550103211,0.829221808596171,"United States",0.0929979209803835,0.73,9.37065248756435,313.93,-10.6314852045224
"17_1_2010",2010,"Chrysler","300C",2,"17_1",0.150514036,0.821114747,-0.462635284,-0.193706899,0.0955449,-1.728645473,0.596069048,0.975438518,1.134789653,-0.042719306,0.133446912,0.95238384,0.109294228,-1.727121292,0.8376913,-0.802881723,-0.079698231,-1.051377954,-1.708232095,-0.643594132,40,2.38e-05,0.624,2,24.143364,3.6,215,2.15,440.924,5015,1880,2987,"Diesel",0.487612377643313,0.677441010242128,1.46137550103211,0.742906051323513,"United States",0.0487880513202218,1.09,6.44512065451401,299.6929,-10.5806617052998
"17_1_2012",2012,"Chrysler","300C",2,"17_1",0.219602755,0.847381335,-0.63553503,-1.138877196,0.852676897,0.786123751,-0.766474666,1.095191634,0.07017172,0.50680098,-1.568772211,0.398690886,0.102062198,0.754806365,-0.067222454,-0.426366023,1.153196784,-0.57789625,0.332621703,0.048919752,40,6.12e-06,0.163,4,28.383135,3.9,236,1.91,466.718054,5066,1902,2987,"Diesel",0.505658604755838,0.64000095440919,1.49351206001261,0.627945957209031,"United States",0.0926399370339724,4.55,7.75256487485459,324.5597,-11.9351713423911
"17_1_2013",2013,"Chrysler","300C",2,"17_1",0.381655973,1.046806344,0.199208374,-1.605371064,-1.867023156,1.531847676,0.7678083,1.457222731,0.745483188,0.72878201,0.626007896,1.338207609,0.039236688,-1.544146915,-0.545985896,0.469077822,1.272978402,-2.309347837,2.123909012,0.099981349,40,5.78e-06,0.154,5,29.091975,3.9,236,1.91,466.718054,5066,1902,2987,"Diesel",0.505658604755838,0.64000095440919,1.49351206001261,0.619518975727829,"United States",0.0804210484264327,3.99,7.2505009730938,380.1097,-11.9828620958644
"17_10_2011",2011,"Chrysler","Ypsilon",2,"17_10",1.238214135,-0.39387611,0.235511489,-0.670990049,-1.449218241,-1.676876414,0.160491406,-0.008882447,0.83609689,-0.177674887,-3.75713926,0.326706211,-1.382809489,-1.409822894,-0.310694753,0.141925772,-1.347674131,-0.660040998,-0.530250614,-0.486262952,41,1.06e-05,0.28,3,10.0405,5.5,68,1.18,212.74583,3842,1874,1242,"Petrol",0.319630236700762,0.583795226444626,1.11598917724328,0.970928737244568,"United States",0.0643284155527102,21.87,7.9288258779717,401.0689,-11.3909011700456
"17_10_2012",2012,"Chrysler","Ypsilon",2,"17_10",1.384583216,1.114421781,-0.157178703,-1.096151436,-0.964691035,0.096214547,-1.227512023,0.749939859,-0.593505719,0.889201955,0.450992476,0.322765661,-1.519842592,0.830540591,-0.004243625,-0.605643228,0.348681629,-0.269743473,-1.042534707,0.882096785,41,6.8e-05,1.81,4,10.33075,5.5,68,1.18,212.74583,3842,1874,1242,"Petrol",0.319630236700762,0.583795226444626,1.11598917724328,0.92740627946404,"United States",0.0896937161424987,22.15,9.22037038726886,392.9437,-9.52722573373927
"17_10_2013",2013,"Chrysler","Ypsilon",2,"17_10",-1.371488607,-1.078949384,0.624160226,0.302926433,-0.315411786,-0.601434395,0.391812342,0.785296215,1.572173959,1.773390162,-0.098361386,-1.079049479,-0.444237786,-0.831943288,-0.52357811,1.863973162,-0.382214113,-0.411941838,1.493274204,0.164612203,41,6.54e-05,1.744,5,10.58875,5.5,68,1.18,212.74583,3842,1874,1242,"Petrol",0.319630236700762,0.583795226444626,1.11598917724328,0.91444237824508,"United States",0.101193211791705,24.79,8.80009294329126,344.4937,-9.55674352008549
"17_10_2014",2014,"Chrysler","Ypsilon",2,"17_10",-0.987553568,-0.146663698,0.480789214,0.703032817,-2.100973866,-0.010856843,0.494823253,-0.915184136,-2.352970748,0.500110601,0.706237671,-0.822747852,-0.382168162,0.636221273,0.362823114,-0.183279576,0.021975326,0.17236382,-0.214289979,-1.331974015,41,4.95e-05,1.322,6,9.995,5.4,68,1.2,212.74583,3842,1874,1242,"Petrol",0.319630236700762,0.583795226444626,1.11598917724328,0.932253318041449,"United States",0.0403584970874999,14.24,10.4119104793294,304.0687,-9.82814829741202
